User_ID,Session_Date,Device_Type,Add_to_Cart,Proceed_to_Checkout,Complete_Purchase,Drop_Reason
51,2024-11-13,Desktop,Yes,No,No,Not Ready to Buy
52,2024-11-26,Tablet,Yes,Yes,Yes,-
53,2024-11-25,Mobile,Yes,No,No,Not Ready to Buy
54,2024-11-28,Tablet,Yes,No,No,Forced Account Creation
55,2024-11-16,Tablet,Yes,No,No,High Shipping Cost
56,2024-11-23,Mobile,No,No,No,-
57,2024-11-16,Desktop,Yes,Yes,Yes,-
58,2024-11-15,Desktop,Yes,Yes,Yes,-
59,2024-11-13,Desktop,Yes,No,No,Forced Account Creation
60,2024-11-26,Mobile,No,No,No,-
61,2024-11-14,Mobile,No,No,No,-
62,2024-11-22,Mobile,Yes,Yes,Yes,-
63,2024-11-13,Tablet,No,No,No,-
64,2024-11-20,Mobile,Yes,No,No,High Shipping Cost
65,2024-11-30,Tablet,No,No,No,-
66,2024-11-14,Tablet,Yes,Yes,Yes,-
67,2024-11-15,Mobile,Yes,No,No,Not Ready to Buy
68,2024-11-09,Tablet,Yes,No,No,High Shipping Cost
69,2024-11-27,Mobile,Yes,Yes,Yes,-
70,2024-11-09,Tablet,Yes,Yes,Yes,-
71,2024-11-26,Mobile,Yes,No,No,Limited Payment Options
72,2024-11-19,Tablet,Yes,Yes,No,Not Ready to Buy
73,2024-11-17,Tablet,No,No,No,-
74,2024-11-03,Tablet,Yes,Yes,No,Forced Account Creation
75,2024-11-26,Mobile,Yes,Yes,Yes,-
76,2024-11-25,Mobile,Yes,No,No,Forced Account Creation
77,2024-11-08,Desktop,No,No,No,-
78,2024-11-22,Mobile,No,No,No,-
79,2024-11-29,Tablet,No,No,No,-
80,2024-11-01,Mobile,No,No,No,-
81,2024-11-16,Mobile,Yes,Yes,No,Not Ready to Buy
82,2024-11-26,Mobile,No,No,No,-
83,2024-11-21,Tablet,Yes,Yes,Yes,-
84,2024-11-23,Desktop,No,No,No,-
85,2024-11-29,Tablet,No,No,No,-
86,2024-11-08,Desktop,Yes,Yes,No,Forced Account Creation
87,2024-11-20,Tablet,No,No,No,-
88,2024-11-15,Mobile,Yes,No,No,Limited Payment Options
89,2024-11-09,Mobile,Yes,No,No,Limited Payment Options
90,2024-11-14,Desktop,Yes,Yes,No,Not Ready to Buy
91,2024-11-09,Mobile,No,No,No,-
92,2024-11-17,Mobile,Yes,No,No,Forced Account Creation
93,2024-11-09,Desktop,Yes,No,No,Limited Payment Options
94,2024-11-04,Tablet,Yes,No,No,High Shipping Cost
95,2024-11-18,Mobile,Yes,No,No,Forced Account Creation
96,2024-11-01,Desktop,No,No,No,-
97,2024-11-15,Tablet,No,No,No,-
98,2024-11-02,Desktop,No,No,No,-
99,2024-11-05,Tablet,No,No,No,-
100,2024-11-16,Mobile,No,No,No,-
101,2024-11-30,Tablet,Yes,Yes,Yes,-
102,2024-11-09,Tablet,Yes,No,No,Complex Checkout Process
103,2024-11-27,Mobile,Yes,No,No,Complex Checkout Process
104,2024-11-12,Desktop,Yes,No,No,Not Ready to Buy
105,2024-11-18,Tablet,No,No,No,-
106,2024-11-23,Desktop,Yes,No,No,Complex Checkout Process
107,2024-11-26,Tablet,Yes,Yes,Yes,-
108,2024-11-27,Tablet,Yes,Yes,Yes,-
109,2024-11-03,Mobile,Yes,Yes,Yes,-
110,2024-11-29,Tablet,No,No,No,-
111,2024-11-01,Tablet,Yes,No,No,Not Ready to Buy
112,2024-11-16,Tablet,No,No,No,-
113,2024-11-24,Tablet,Yes,Yes,Yes,-
114,2024-11-05,Mobile,Yes,No,No,Complex Checkout Process
115,2024-11-29,Desktop,Yes,No,No,Forced Account Creation
116,2024-11-28,Mobile,No,No,No,-
117,2024-11-18,Desktop,Yes,No,No,Forced Account Creation
118,2024-11-06,Mobile,No,No,No,-
119,2024-11-04,Desktop,Yes,Yes,Yes,-
120,2024-11-24,Mobile,Yes,No,No,Not Ready to Buy
121,2024-11-26,Tablet,Yes,No,No,Limited Payment Options
122,2024-11-02,Mobile,Yes,No,No,Limited Payment Options
123,2024-11-11,Mobile,Yes,Yes,No,Not Ready to Buy
124,2024-11-21,Desktop,Yes,No,No,Complex Checkout Process
125,2024-11-04,Mobile,Yes,Yes,No,High Shipping Cost
126,2024-11-25,Tablet,Yes,No,No,Complex Checkout Process
127,2024-11-23,Tablet,Yes,Yes,No,Limited Payment Options
128,2024-11-28,Desktop,Yes,No,No,Complex Checkout Process
129,2024-11-08,Desktop,Yes,Yes,Yes,-
130,2024-11-23,Tablet,No,No,No,-
131,2024-11-06,Tablet,Yes,No,No,Forced Account Creation
132,2024-11-05,Mobile,No,No,No,-
133,2024-11-16,Desktop,Yes,Yes,Yes,-
134,2024-11-19,Mobile,Yes,Yes,No,Forced Account Creation
135,2024-11-07,Desktop,Yes,Yes,Yes,-
136,2024-11-17,Mobile,Yes,No,No,Forced Account Creation
137,2024-11-30,Tablet,No,No,No,-
138,2024-11-06,Tablet,Yes,Yes,No,Complex Checkout Process
139,2024-11-24,Mobile,Yes,Yes,No,Limited Payment Options
140,2024-11-26,Desktop,Yes,No,No,Not Ready to Buy
141,2024-11-02,Tablet,Yes,Yes,Yes,-
142,2024-11-13,Tablet,Yes,No,No,Complex Checkout Process
143,2024-11-17,Desktop,Yes,Yes,Yes,-
144,2024-11-21,Tablet,No,No,No,-
145,2024-11-17,Tablet,No,No,No,-
146,2024-11-27,Tablet,No,No,No,-
147,2024-11-18,Tablet,Yes,No,No,Limited Payment Options
148,2024-11-02,Mobile,Yes,No,No,Complex Checkout Process
149,2024-11-15,Mobile,No,No,No,-
150,2024-11-25,Desktop,Yes,Yes,Yes,-
151,2024-11-28,Tablet,No,No,No,-
152,2024-11-14,Tablet,Yes,Yes,Yes,-
153,2024-11-19,Mobile,Yes,No,No,Not Ready to Buy
154,2024-11-30,Tablet,Yes,Yes,Yes,-
155,2024-11-09,Mobile,No,No,No,-
156,2024-11-20,Tablet,Yes,No,No,Not Ready to Buy
157,2024-11-03,Mobile,Yes,Yes,No,Forced Account Creation
158,2024-11-16,Mobile,Yes,No,No,Limited Payment Options
159,2024-11-25,Mobile,No,No,No,-
160,2024-11-04,Mobile,Yes,No,No,Not Ready to Buy
161,2024-11-28,Tablet,Yes,Yes,No,Limited Payment Options
162,2024-11-01,Tablet,Yes,Yes,Yes,-
163,2024-11-27,Mobile,Yes,Yes,Yes,-
164,2024-11-25,Mobile,No,No,No,-
165,2024-11-07,Tablet,Yes,Yes,Yes,-
166,2024-11-26,Mobile,No,No,No,-
167,2024-11-10,Desktop,Yes,No,No,Not Ready to Buy
168,2024-11-23,Mobile,Yes,Yes,No,Forced Account Creation
169,2024-11-29,Tablet,Yes,No,No,Not Ready to Buy
170,2024-11-17,Tablet,No,No,No,-
171,2024-11-18,Mobile,No,No,No,-
172,2024-11-06,Tablet,Yes,No,No,Complex Checkout Process
173,2024-11-03,Tablet,No,No,No,-
174,2024-11-23,Tablet,No,No,No,-
175,2024-11-14,Desktop,Yes,No,No,Not Ready to Buy
176,2024-11-18,Mobile,No,No,No,-
177,2024-11-01,Mobile,No,No,No,-
178,2024-11-22,Desktop,Yes,No,No,Not Ready to Buy
179,2024-11-12,Desktop,Yes,Yes,Yes,-
180,2024-11-01,Tablet,Yes,No,No,Limited Payment Options
181,2024-11-07,Tablet,Yes,No,No,Forced Account Creation
182,2024-11-10,Tablet,No,No,No,-
183,2024-11-07,Desktop,No,No,No,-
184,2024-11-01,Tablet,Yes,Yes,Yes,-
185,2024-11-05,Tablet,Yes,No,No,Limited Payment Options
186,2024-11-03,Mobile,No,No,No,-
187,2024-11-03,Tablet,Yes,No,No,Forced Account Creation
188,2024-11-16,Tablet,Yes,Yes,Yes,-
189,2024-11-10,Tablet,No,No,No,-
190,2024-11-20,Desktop,No,No,No,-
191,2024-11-27,Tablet,No,No,No,-
192,2024-11-28,Mobile,Yes,Yes,No,Not Ready to Buy
193,2024-11-27,Mobile,No,No,No,-
194,2024-11-15,Tablet,Yes,No,No,Forced Account Creation
195,2024-11-25,Mobile,Yes,No,No,Complex Checkout Process
196,2024-11-28,Tablet,Yes,No,No,Not Ready to Buy
197,2024-11-08,Tablet,Yes,Yes,No,High Shipping Cost
198,2024-11-10,Desktop,Yes,No,No,Complex Checkout Process
199,2024-11-07,Tablet,Yes,Yes,Yes,-
200,2024-11-17,Mobile,Yes,No,No,High Shipping Cost
201,2024-11-02,Desktop,Yes,No,No,Forced Account Creation
202,2024-11-20,Tablet,Yes,Yes,Yes,-
203,2024-11-14,Mobile,Yes,Yes,No,Forced Account Creation
204,2024-11-06,Mobile,No,No,No,-
205,2024-11-30,Desktop,Yes,No,No,Not Ready to Buy
206,2024-11-08,Mobile,Yes,Yes,Yes,-
207,2024-11-13,Tablet,Yes,No,No,Forced Account Creation
208,2024-11-11,Tablet,No,No,No,-
209,2024-11-10,Tablet,Yes,Yes,No,Not Ready to Buy
210,2024-11-07,Tablet,Yes,No,No,Limited Payment Options
211,2024-11-06,Desktop,Yes,Yes,Yes,-
212,2024-11-02,Desktop,Yes,Yes,No,Not Ready to Buy
213,2024-11-22,Tablet,Yes,Yes,Yes,-
214,2024-11-20,Mobile,Yes,Yes,Yes,-
215,2024-11-29,Tablet,No,No,No,-
216,2024-11-03,Desktop,No,No,No,-
217,2024-11-15,Desktop,No,No,No,-
218,2024-11-20,Tablet,Yes,No,No,Complex Checkout Process
219,2024-11-03,Tablet,No,No,No,-
220,2024-11-19,Tablet,No,No,No,-
221,2024-11-30,Tablet,Yes,No,No,Forced Account Creation
222,2024-11-27,Desktop,No,No,No,-
223,2024-11-14,Mobile,Yes,No,No,Complex Checkout Process
224,2024-11-20,Tablet,No,No,No,-
225,2024-11-04,Tablet,Yes,No,No,Limited Payment Options
226,2024-11-20,Desktop,No,No,No,-
227,2024-11-15,Desktop,No,No,No,-
228,2024-11-25,Tablet,Yes,Yes,Yes,-
229,2024-11-07,Desktop,No,No,No,-
230,2024-11-03,Desktop,No,No,No,-
231,2024-11-01,Tablet,Yes,No,No,Limited Payment Options
232,2024-11-20,Desktop,No,No,No,-
233,2024-11-16,Tablet,No,No,No,-
234,2024-11-05,Mobile,Yes,Yes,Yes,-
235,2024-11-30,Desktop,No,No,No,-
236,2024-11-04,Mobile,No,No,No,-
237,2024-11-14,Tablet,Yes,Yes,Yes,-
238,2024-11-17,Tablet,Yes,No,No,Forced Account Creation
239,2024-11-14,Desktop,Yes,Yes,Yes,-
240,2024-11-09,Mobile,Yes,Yes,Yes,-
241,2024-11-21,Tablet,No,No,No,-
242,2024-11-24,Desktop,Yes,No,No,Limited Payment Options
243,2024-11-07,Mobile,No,No,No,-
244,2024-11-30,Tablet,Yes,No,No,High Shipping Cost
245,2024-11-12,Mobile,Yes,Yes,No,Limited Payment Options
246,2024-11-09,Tablet,Yes,No,No,Limited Payment Options
247,2024-11-09,Mobile,Yes,No,No,Limited Payment Options
248,2024-11-28,Mobile,Yes,No,No,Complex Checkout Process
249,2024-11-22,Mobile,Yes,Yes,No,Complex Checkout Process
250,2024-11-16,Desktop,No,No,No,-
251,2024-11-06,Mobile,Yes,No,No,Limited Payment Options
252,2024-11-26,Desktop,Yes,Yes,Yes,-
253,2024-11-06,Mobile,No,No,No,-
254,2024-11-05,Desktop,Yes,Yes,Yes,-
255,2024-11-13,Tablet,Yes,No,No,Limited Payment Options
256,2024-11-13,Tablet,No,No,No,-
257,2024-11-04,Mobile,Yes,No,No,Not Ready to Buy
258,2024-11-28,Mobile,Yes,Yes,No,Forced Account Creation
259,2024-11-10,Mobile,No,No,No,-
260,2024-11-21,Mobile,Yes,Yes,Yes,-
261,2024-11-04,Desktop,Yes,No,No,Forced Account Creation
262,2024-11-19,Mobile,No,No,No,-
263,2024-11-12,Mobile,Yes,No,No,High Shipping Cost
264,2024-11-01,Tablet,No,No,No,-
265,2024-11-14,Desktop,No,No,No,-
266,2024-11-22,Tablet,Yes,Yes,Yes,-
267,2024-11-06,Desktop,Yes,Yes,Yes,-
268,2024-11-19,Tablet,No,No,No,-
269,2024-11-10,Desktop,Yes,Yes,Yes,-
270,2024-11-24,Tablet,Yes,No,No,High Shipping Cost
271,2024-11-03,Desktop,No,No,No,-
272,2024-11-01,Tablet,Yes,Yes,No,Limited Payment Options
273,2024-11-26,Mobile,Yes,Yes,No,Limited Payment Options
274,2024-11-30,Tablet,No,No,No,-
275,2024-11-06,Tablet,No,No,No,-
276,2024-11-25,Mobile,Yes,Yes,Yes,-
277,2024-11-20,Mobile,No,No,No,-
278,2024-11-10,Desktop,No,No,No,-
279,2024-11-04,Desktop,Yes,No,No,Complex Checkout Process
280,2024-11-01,Tablet,Yes,No,No,Complex Checkout Process
281,2024-11-03,Tablet,Yes,Yes,No,Forced Account Creation
282,2024-11-22,Mobile,No,No,No,-
283,2024-11-20,Desktop,No,No,No,-
284,2024-11-16,Tablet,No,No,No,-
285,2024-11-25,Mobile,Yes,No,No,Limited Payment Options
286,2024-11-21,Mobile,Yes,No,No,High Shipping Cost
287,2024-11-28,Tablet,Yes,Yes,No,Forced Account Creation
288,2024-11-09,Tablet,Yes,Yes,Yes,-
289,2024-11-12,Desktop,No,No,No,-
290,2024-11-30,Tablet,No,No,No,-
291,2024-11-18,Tablet,Yes,No,No,High Shipping Cost
292,2024-11-06,Tablet,No,No,No,-
293,2024-11-04,Mobile,Yes,No,No,Not Ready to Buy
294,2024-11-04,Tablet,No,No,No,-
295,2024-11-05,Mobile,No,No,No,-
296,2024-11-03,Mobile,No,No,No,-
297,2024-11-30,Mobile,Yes,No,No,Complex Checkout Process
298,2024-11-17,Mobile,Yes,No,No,Complex Checkout Process
299,2024-11-15,Mobile,No,No,No,-
300,2024-11-22,Tablet,No,No,No,-
301,2024-11-02,Mobile,Yes,Yes,No,Forced Account Creation
302,2024-11-21,Desktop,Yes,Yes,No,Complex Checkout Process
303,2024-11-10,Desktop,No,No,No,-
304,2024-11-01,Desktop,Yes,Yes,Yes,-
305,2024-11-13,Desktop,Yes,Yes,No,Forced Account Creation
306,2024-11-21,Mobile,Yes,Yes,Yes,-
307,2024-11-12,Desktop,Yes,Yes,No,Limited Payment Options
308,2024-11-18,Tablet,No,No,No,-
309,2024-11-17,Desktop,Yes,Yes,No,Complex Checkout Process
310,2024-11-12,Mobile,Yes,No,No,High Shipping Cost
311,2024-11-26,Desktop,Yes,No,No,High Shipping Cost
312,2024-11-23,Mobile,No,No,No,-
313,2024-11-30,Tablet,Yes,Yes,Yes,-
314,2024-11-28,Mobile,No,No,No,-
315,2024-11-02,Tablet,Yes,Yes,Yes,-
316,2024-11-23,Mobile,Yes,No,No,High Shipping Cost
317,2024-11-17,Desktop,Yes,Yes,Yes,-
318,2024-11-26,Tablet,Yes,No,No,Forced Account Creation
319,2024-11-23,Tablet,No,No,No,-
320,2024-11-10,Mobile,No,No,No,-
321,2024-11-18,Mobile,No,No,No,-
322,2024-11-10,Desktop,Yes,No,No,Complex Checkout Process
323,2024-11-11,Mobile,No,No,No,-
324,2024-11-11,Desktop,Yes,Yes,No,Forced Account Creation
325,2024-11-26,Mobile,No,No,No,-
326,2024-11-18,Mobile,Yes,No,No,High Shipping Cost
327,2024-11-17,Mobile,Yes,Yes,No,Limited Payment Options
328,2024-11-10,Desktop,Yes,No,No,Not Ready to Buy
329,2024-11-12,Desktop,Yes,No,No,Limited Payment Options
330,2024-11-28,Desktop,Yes,Yes,Yes,-
331,2024-11-15,Tablet,Yes,Yes,No,Forced Account Creation
332,2024-11-10,Tablet,Yes,No,No,Forced Account Creation
333,2024-11-09,Desktop,Yes,No,No,High Shipping Cost
334,2024-11-24,Tablet,No,No,No,-
335,2024-11-02,Desktop,Yes,Yes,Yes,-
336,2024-11-11,Desktop,Yes,Yes,Yes,-
337,2024-11-10,Tablet,No,No,No,-
338,2024-11-01,Desktop,No,No,No,-
339,2024-11-12,Desktop,No,No,No,-
340,2024-11-13,Tablet,No,No,No,-
341,2024-11-30,Desktop,No,No,No,-
342,2024-11-10,Mobile,Yes,Yes,Yes,-
343,2024-11-13,Desktop,Yes,No,No,Not Ready to Buy
344,2024-11-22,Tablet,Yes,Yes,Yes,-
345,2024-11-17,Tablet,Yes,No,No,Forced Account Creation
346,2024-11-05,Desktop,No,No,No,-
347,2024-11-14,Tablet,No,No,No,-
348,2024-11-23,Desktop,No,No,No,-
349,2024-11-04,Desktop,Yes,Yes,No,High Shipping Cost
350,2024-11-10,Tablet,Yes,No,No,Complex Checkout Process
351,2024-11-22,Tablet,No,No,No,-
352,2024-11-24,Desktop,No,No,No,-
353,2024-11-16,Desktop,No,No,No,-
354,2024-11-04,Tablet,No,No,No,-
355,2024-11-13,Tablet,Yes,No,No,Limited Payment Options
356,2024-11-10,Mobile,Yes,Yes,No,Limited Payment Options
357,2024-11-24,Desktop,Yes,No,No,Forced Account Creation
358,2024-11-27,Desktop,Yes,No,No,Not Ready to Buy
359,2024-11-22,Tablet,Yes,No,No,Forced Account Creation
360,2024-11-16,Tablet,Yes,Yes,Yes,-
361,2024-11-24,Tablet,Yes,Yes,Yes,-
362,2024-11-18,Desktop,Yes,No,No,Limited Payment Options
363,2024-11-29,Desktop,No,No,No,-
364,2024-11-18,Desktop,No,No,No,-
365,2024-11-29,Desktop,No,No,No,-
366,2024-11-06,Desktop,Yes,Yes,No,Forced Account Creation
367,2024-11-28,Mobile,No,No,No,-
368,2024-11-09,Desktop,Yes,Yes,Yes,-
369,2024-11-28,Mobile,No,No,No,-
370,2024-11-01,Mobile,Yes,No,No,Limited Payment Options
371,2024-11-08,Desktop,Yes,No,No,Complex Checkout Process
372,2024-11-11,Desktop,Yes,No,No,Limited Payment Options
373,2024-11-19,Tablet,No,No,No,-
374,2024-11-10,Desktop,Yes,Yes,Yes,-
375,2024-11-28,Desktop,No,No,No,-
376,2024-11-21,Tablet,Yes,Yes,No,Forced Account Creation
377,2024-11-11,Mobile,No,No,No,-
378,2024-11-10,Tablet,Yes,No,No,Forced Account Creation
379,2024-11-03,Tablet,Yes,No,No,Limited Payment Options
380,2024-11-08,Mobile,Yes,No,No,Complex Checkout Process
381,2024-11-04,Desktop,No,No,No,-
382,2024-11-28,Desktop,No,No,No,-
383,2024-11-08,Desktop,Yes,No,No,High Shipping Cost
384,2024-11-12,Tablet,Yes,Yes,No,Complex Checkout Process
385,2024-11-14,Mobile,Yes,Yes,No,Not Ready to Buy
386,2024-11-28,Mobile,Yes,Yes,Yes,-
387,2024-11-03,Desktop,Yes,No,No,High Shipping Cost
388,2024-11-07,Mobile,No,No,No,-
389,2024-11-09,Tablet,No,No,No,-
390,2024-11-24,Tablet,No,No,No,-
391,2024-11-05,Tablet,Yes,Yes,No,Forced Account Creation
392,2024-11-22,Tablet,Yes,No,No,Complex Checkout Process
393,2024-11-22,Mobile,No,No,No,-
394,2024-11-14,Mobile,Yes,Yes,Yes,-
395,2024-11-23,Mobile,Yes,Yes,Yes,-
396,2024-11-06,Desktop,Yes,No,No,Complex Checkout Process
397,2024-11-14,Mobile,Yes,No,No,Forced Account Creation
398,2024-11-29,Mobile,No,No,No,-
399,2024-11-26,Tablet,Yes,Yes,No,Complex Checkout Process
400,2024-11-04,Mobile,Yes,No,No,Complex Checkout Process
401,2024-11-17,Mobile,Yes,No,No,High Shipping Cost
402,2024-11-25,Desktop,Yes,No,No,High Shipping Cost
403,2024-11-04,Tablet,No,No,No,-
404,2024-11-14,Mobile,Yes,Yes,No,Forced Account Creation
405,2024-11-09,Desktop,Yes,Yes,Yes,-
406,2024-11-30,Desktop,Yes,No,No,High Shipping Cost
407,2024-11-10,Tablet,No,No,No,-
408,2024-11-15,Desktop,Yes,No,No,Not Ready to Buy
409,2024-11-26,Mobile,Yes,Yes,No,Limited Payment Options
410,2024-11-26,Tablet,No,No,No,-
411,2024-11-01,Mobile,No,No,No,-
412,2024-11-17,Desktop,No,No,No,-
413,2024-11-10,Tablet,Yes,No,No,Limited Payment Options
414,2024-11-02,Mobile,Yes,No,No,High Shipping Cost
415,2024-11-09,Tablet,Yes,No,No,High Shipping Cost
416,2024-11-16,Mobile,Yes,Yes,Yes,-
417,2024-11-04,Desktop,Yes,No,No,Limited Payment Options
418,2024-11-18,Desktop,No,No,No,-
419,2024-11-25,Mobile,Yes,Yes,Yes,-
420,2024-11-08,Mobile,Yes,No,No,Limited Payment Options
421,2024-11-22,Tablet,Yes,No,No,High Shipping Cost
422,2024-11-28,Desktop,Yes,Yes,Yes,-
423,2024-11-01,Mobile,No,No,No,-
424,2024-11-04,Tablet,Yes,Yes,No,Complex Checkout Process
425,2024-11-02,Tablet,Yes,Yes,Yes,-
426,2024-11-02,Tablet,No,No,No,-
427,2024-11-21,Tablet,Yes,No,No,High Shipping Cost
428,2024-11-04,Mobile,Yes,No,No,Complex Checkout Process
429,2024-11-13,Desktop,No,No,No,-
430,2024-11-14,Tablet,Yes,Yes,Yes,-
431,2024-11-08,Tablet,No,No,No,-
432,2024-11-15,Tablet,Yes,No,No,Limited Payment Options
433,2024-11-06,Tablet,No,No,No,-
434,2024-11-24,Tablet,Yes,Yes,Yes,-
435,2024-11-10,Tablet,Yes,Yes,No,Limited Payment Options
436,2024-11-15,Tablet,No,No,No,-
437,2024-11-24,Mobile,Yes,No,No,Limited Payment Options
438,2024-11-01,Tablet,Yes,Yes,Yes,-
439,2024-11-14,Desktop,Yes,No,No,Not Ready to Buy
440,2024-11-15,Mobile,Yes,No,No,Not Ready to Buy
441,2024-11-24,Desktop,No,No,No,-
442,2024-11-26,Tablet,Yes,Yes,Yes,-
443,2024-11-14,Mobile,Yes,Yes,Yes,-
444,2024-11-20,Desktop,Yes,Yes,Yes,-
445,2024-11-11,Tablet,Yes,No,No,Limited Payment Options
446,2024-11-05,Tablet,No,No,No,-
447,2024-11-03,Desktop,Yes,Yes,Yes,-
448,2024-11-13,Tablet,No,No,No,-
449,2024-11-16,Desktop,Yes,No,No,Limited Payment Options
450,2024-11-30,Tablet,No,No,No,-
451,2024-11-28,Desktop,No,No,No,-
452,2024-11-19,Desktop,No,No,No,-
453,2024-11-01,Desktop,Yes,No,No,Complex Checkout Process
454,2024-11-27,Mobile,No,No,No,-
455,2024-11-23,Tablet,No,No,No,-
456,2024-11-05,Desktop,No,No,No,-
457,2024-11-26,Tablet,Yes,Yes,Yes,-
458,2024-11-08,Desktop,No,No,No,-
459,2024-11-09,Tablet,Yes,Yes,Yes,-
460,2024-11-06,Desktop,Yes,Yes,Yes,-
461,2024-11-19,Tablet,Yes,Yes,Yes,-
462,2024-11-15,Desktop,No,No,No,-
463,2024-11-06,Desktop,Yes,Yes,Yes,-
464,2024-11-04,Desktop,Yes,No,No,Forced Account Creation
465,2024-11-14,Tablet,Yes,No,No,Forced Account Creation
466,2024-11-12,Mobile,Yes,No,No,High Shipping Cost
467,2024-11-26,Mobile,Yes,Yes,Yes,-
468,2024-11-27,Desktop,Yes,No,No,Complex Checkout Process
469,2024-11-22,Tablet,Yes,No,No,Complex Checkout Process
470,2024-11-06,Tablet,No,No,No,-
471,2024-11-16,Mobile,Yes,No,No,High Shipping Cost
472,2024-11-21,Mobile,Yes,Yes,Yes,-
473,2024-11-22,Desktop,Yes,Yes,No,Limited Payment Options
474,2024-11-22,Desktop,Yes,No,No,High Shipping Cost
475,2024-11-25,Mobile,Yes,Yes,Yes,-
476,2024-11-27,Tablet,Yes,Yes,Yes,-
477,2024-11-09,Tablet,No,No,No,-
478,2024-11-25,Tablet,No,No,No,-
479,2024-11-02,Tablet,Yes,No,No,Forced Account Creation
480,2024-11-05,Desktop,No,No,No,-
481,2024-11-27,Mobile,No,No,No,-
482,2024-11-20,Desktop,Yes,No,No,Limited Payment Options
483,2024-11-16,Mobile,Yes,No,No,High Shipping Cost
484,2024-11-15,Tablet,Yes,Yes,Yes,-
485,2024-11-04,Mobile,No,No,No,-
486,2024-11-23,Desktop,Yes,Yes,Yes,-
487,2024-11-02,Mobile,No,No,No,-
488,2024-11-05,Desktop,Yes,Yes,No,Limited Payment Options
489,2024-11-16,Desktop,No,No,No,-
490,2024-11-27,Tablet,Yes,No,No,Limited Payment Options
491,2024-11-16,Desktop,No,No,No,-
492,2024-11-30,Tablet,No,No,No,-
493,2024-11-30,Desktop,Yes,No,No,Forced Account Creation
494,2024-11-27,Tablet,No,No,No,-
495,2024-11-10,Mobile,Yes,Yes,Yes,-
496,2024-11-07,Mobile,Yes,Yes,Yes,-
497,2024-11-20,Mobile,Yes,No,No,Complex Checkout Process
498,2024-11-15,Mobile,No,No,No,-
499,2024-11-04,Mobile,Yes,No,No,High Shipping Cost
500,2024-11-27,Desktop,Yes,No,No,Complex Checkout Process
501,2024-11-09,Mobile,No,No,No,-
502,2024-11-19,Mobile,Yes,No,No,High Shipping Cost
503,2024-11-18,Mobile,Yes,Yes,Yes,-
504,2024-11-23,Tablet,No,No,No,-
505,2024-11-26,Tablet,No,No,No,-
506,2024-11-05,Tablet,Yes,Yes,No,High Shipping Cost
507,2024-11-03,Tablet,No,No,No,-
